City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,vilyuchinsk,52.9306,158.4028,15.150000000000034,80,41,3.9,RU,1694943037
225,chunskiy,56.0815,99.6342,18.730000000000018,47,9,2.09,RU,1694943037
226,sarandi grande,-33.7333,-56.3333,12.810000000000002,82,0,5.14,UY,1694943038
227,east london,-33.0153,27.9116,18.52000000000004,36,0,10.8,ZA,1694943038
228,santa cruz de tenerife,28.4682,-16.2546,25.900000000000034,88,75,4.12,ES,1694943029
229,magadi,12.9667,77.2333,29.090000000000032,61,78,6.71,IN,1694943040
230,vilyuysk,63.7553,121.6247,1.2800000000000296,99,100,3.26,RU,1694943040
231,misratah,32.3754,15.0925,27.970000000000027,44,1,1.81,LY,1694943041
232,conception bay south,47.4999,-52.9981,20.860000000000014,97,100,6.06,CA,1694943041
233,mata-utu,-13.2816,-176.1745,27.78000000000003,74,87,10.43,WF,1694943042
234,mont-dore,-22.2833,166.5833,21.670000000000016,99,99,4.24,NC,1694943005
235,gaigeturi,33.4644,126.3183,26.03000000000003,83,75,2.57,KR,1694943043
236,calipatria,33.1256,-115.5142,28.28000000000003,39,0,2.06,US,1694943043
237,tell city,37.9514,-86.7678,15.939999999999998,98,75,0.0,US,1694942834
238,katsuren-haebaru,26.3369,127.8719,29.430000000000007,94,100,2.06,JP,1694943044
239,candelaria,13.9311,121.4233,28.55000000000001,87,87,1.34,PH,1694943045
240,fale old settlement,-9.3852,-171.2468,28.74000000000001,79,4,7.78,TK,1694943045
241,burang,30.25,81.1667,11.330000000000041,79,99,2.93,CN,1694943046
242,cosala,24.4125,-106.6908,22.390000000000043,94,100,1.05,MX,1694943046
243,eldorado,-23.7869,-54.2836,19.140000000000043,64,0,3.57,BR,1694943047
244,al jawf,29.5,38.75,34.150000000000034,15,0,2.34,SA,1694943047
245,colares,38.7992,-9.4469,21.0,80,75,10.73,PT,1694943048
246,zeya,53.75,127.2667,11.29000000000002,83,100,1.31,RU,1694943048
247,valfin-les-saint-claude,46.4376,5.8551,22.590000000000032,63,97,1.25,FR,1694943049
248,tilcara,-23.5776,-65.3509,10.830000000000041,14,0,4.49,AR,1694942822
249,sheoganj,25.15,73.0667,27.02000000000004,84,98,3.7,IN,1694943050
250,ribeira grande,38.5167,-28.7,20.220000000000027,68,75,2.68,PT,1694943050
251,yarmouth,41.7057,-70.2286,17.200000000000045,75,0,9.39,US,1694943051
252,kristiansund,63.1115,7.732,10.360000000000014,76,0,2.06,NO,1694943052
253,krasnogorskiy,54.6025,61.231,18.629999999999995,51,32,1.3,RU,1694943052
254,novyye lyady,58.0536,56.6039,20.58000000000004,51,31,2.45,RU,1694943001
255,alo,7.4178,6.7371,28.27000000000004,76,90,2.89,NG,1694943053
256,geraldton,-28.7667,114.6,19.230000000000018,63,0,8.75,AU,1694942777
257,patos de minas,-18.5789,-46.5181,21.32000000000005,64,65,1.54,BR,1694943054
258,san cristobal,7.7669,-72.225,19.07000000000005,88,100,0.84,VE,1694942772
259,grambling,32.5276,-92.714,15.960000000000036,100,0,0.0,US,1694943055
260,selfoss,63.9331,-20.9971,7.800000000000011,79,100,3.5,IS,1694943056
261,sikonge,-5.6333,32.7667,34.14000000000004,18,96,1.76,TZ,1694943056
262,nikolayevsk-on-amure,53.1406,140.73,9.350000000000023,75,94,0.47,RU,1694943057
263,bonthe,7.5264,-12.505,27.200000000000045,77,100,2.96,SL,1694943057
264,bontang,0.1333,117.5,27.590000000000032,75,52,3.05,ID,1694943058
265,vizinga,61.0749,50.1031,14.990000000000009,58,100,4.1,RU,1694943058
266,saipan,15.1355,145.701,28.390000000000043,83,20,3.6,MP,1694943059
267,mahajanga,-15.7167,46.3167,34.01000000000005,26,20,3.09,MG,1694943059
268,laguna,38.421,-121.4238,18.08000000000004,82,0,3.6,US,1694943060
269,pisco,-13.7,-76.2167,17.230000000000018,88,81,1.03,PE,1694943061
270,zhangatas,43.5667,69.75,24.810000000000002,20,0,7.02,KZ,1694943061
271,mamuju,-2.6748,118.8885,26.890000000000043,83,74,0.3,ID,1694943062
272,nong ki,14.6868,102.538,32.06,83,99,3.42,TH,1694943062
273,rio hato,8.3833,-80.1667,21.930000000000007,87,100,2.47,PA,1694943063
274,posto fiscal rolim de moura,-13.0833,-62.2667,23.58000000000004,65,3,0.92,BR,1694943063
275,pavilosta,56.8879,21.1859,18.950000000000045,79,54,3.52,LV,1694943065
276,la'ie,21.6477,-157.9253,25.980000000000018,77,12,2.24,US,1694943065
277,morant bay,17.8815,-76.4093,27.79000000000002,82,93,2.59,JM,1694943066
278,lakatoro,-16.0999,167.4164,24.310000000000002,82,16,5.86,VU,1694943066
279,gamba,-2.65,10.0,25.480000000000018,76,95,3.22,GA,1694943067
280,duong dong,10.2167,103.9667,31.0,70,40,3.6,VN,1694943067
281,kill devil hills,36.0307,-75.676,21.100000000000023,88,0,0.0,US,1694943064
282,williams lake,52.1415,-122.1445,16.760000000000048,26,75,3.09,CA,1694943012
283,yanchep,-31.55,115.6833,17.560000000000002,63,0,4.75,AU,1694943069
284,obo,5.3998,26.4869,21.03000000000003,98,100,2.71,CF,1694943069
285,alice springs,-23.7,133.8833,28.75,10,0,4.12,AU,1694942812
286,mil'kovo,55.6078,37.7956,16.730000000000018,41,38,2.63,RU,1694943070
287,villa ojo de agua,-29.5,-63.6938,14.430000000000007,53,0,12.01,AR,1694943071
288,at taj,24.2049,23.2857,30.650000000000034,14,0,2.88,LY,1694942949
289,chavusy,53.8075,30.9712,19.140000000000043,51,5,3.72,BY,1694943072
290,jiagedaqi,50.4167,124.1167,8.990000000000009,98,100,1.09,CN,1694943073
291,tipasa,36.5897,2.4475,32.360000000000014,39,48,1.87,DZ,1694943073
292,berdigestyakh,62.0989,126.6992,2.3500000000000227,67,100,1.5,RU,1694943074
293,xilin hot,43.9667,116.0333,18.629999999999995,46,62,3.13,CN,1694943074
294,klyuchi,52.2667,79.1667,20.03000000000003,48,99,2.38,RU,1694943075
295,bukama,-9.2,25.85,38.72000000000003,18,57,1.75,CD,1694943075
296,sao felix do xingu,-6.6447,-51.995,23.900000000000034,71,2,0.87,BR,1694943076
297,pacific grove,36.6177,-121.9166,17.82000000000005,83,2,0.45,US,1694943076
298,souillac,-20.5167,57.5167,26.210000000000036,61,75,7.2,MU,1694943077
299,howrah,22.5892,88.3103,34.0,66,40,2.57,IN,1694943077
300,queenstown,-31.8976,26.8753,15.430000000000007,23,40,4.5,ZA,1694943078
301,pangody,65.85,74.4859,14.480000000000018,72,100,6.91,RU,1694943079
302,keflavik,64.0049,-22.5624,7.240000000000009,81,40,4.12,IS,1694943079
303,thunder bay,48.4001,-89.3168,7.990000000000009,100,40,1.03,CA,1694942868
304,cestos city,5.46,-9.5828,27.150000000000034,77,67,3.89,LR,1694943080
305,kerikeri,-35.2268,173.9474,11.620000000000005,88,5,0.45,NZ,1694943081
306,coyhaique,-45.5752,-72.0662,1.3400000000000318,75,0,2.06,CL,1694943081
307,mount isa,-20.7333,139.5,25.870000000000005,21,0,3.09,AU,1694943082
308,kodiak,57.79,-152.4072,9.730000000000018,66,100,8.23,US,1694943082
309,luang prabang,19.8856,102.1347,28.980000000000018,79,75,1.03,LA,1694943083
310,mogocha,53.7333,119.7667,8.04000000000002,96,100,1.86,RU,1694943083
311,kas,36.2018,29.6377,31.710000000000036,36,6,4.47,TR,1694943084
312,alakurtti,66.9672,30.3491,8.04000000000002,81,100,2.25,RU,1694943084
313,san blas,21.5167,-105.2667,26.629999999999995,88,79,1.19,MX,1694943085
314,udachny,66.4167,112.4,1.920000000000016,80,97,7.53,RU,1694943086
315,mashhad,36.297,59.6062,25.08000000000004,31,0,3.09,IR,1694943086
316,camacupa,-12.0167,17.4833,32.04000000000002,18,88,3.01,AO,1694943087
317,tutoia,-2.7619,-42.2744,26.58000000000004,75,19,6.32,BR,1694943087
318,alofi,-19.0595,-169.9187,22.939999999999998,78,10,4.63,NU,1694943088
319,douz,33.4663,9.0203,34.44,18,0,2.39,TN,1694943088
320,troitsko-pechorsk,62.7084,56.1964,10.300000000000011,69,100,2.33,RU,1694943089
321,kudahuvadhoo,2.6708,72.8944,28.350000000000023,75,52,4.83,MV,1694943089
322,kavaratti,10.5669,72.642,28.140000000000043,77,98,4.97,IN,1694943090
323,artemovskiy,57.3555,61.8686,21.200000000000045,42,39,1.34,RU,1694943090
324,sinabang,2.4803,96.3801,25.879999999999995,82,100,3.83,ID,1694943091
325,aasiaat,68.7098,-52.8699,0.03000000000002956,83,98,2.37,GL,1694943091
326,pitkyaranta,61.5734,31.4792,13.510000000000048,73,100,9.35,RU,1694943092
327,mendaha,-1.0333,103.5833,29.80000000000001,67,89,2.52,ID,1694943092
328,tsumeb,-19.2333,17.7167,31.30000000000001,9,0,7.16,NA,1694943093
329,lazaro cardenas,17.9583,-102.2,25.03000000000003,91,80,2.51,MX,1694943093
330,mejit,10.2753,170.8646,28.55000000000001,84,100,9.11,MH,1694943094
331,luderitz,-26.6481,15.1594,22.400000000000034,35,0,8.08,NA,1694943094
332,tomohon,1.3346,124.8392,23.52000000000004,90,100,1.71,ID,1694943095
333,constitucion,-35.3333,-72.4167,7.890000000000043,81,92,3.47,CL,1694943095
334,chonchi,-42.6128,-73.8092,3.5600000000000023,96,90,1.46,CL,1694943096
335,tateyama,34.9833,139.8667,28.939999999999998,87,30,6.55,JP,1694943096
336,enewetak,11.3474,162.3373,29.220000000000027,78,100,7.28,MH,1694943097
337,neosho,36.869,-94.368,14.189999999999998,93,0,2.03,US,1694943098
338,al-hamdaniya,36.2715,43.3737,36.460000000000036,9,0,4.31,IQ,1694943098
339,tari,12.4086,4.4914,29.510000000000048,65,99,4.62,NG,1694943099
340,tadine,-21.55,167.8833,21.07000000000005,83,98,8.31,NC,1694943099
341,umluj,25.0213,37.2685,32.25,55,7,7.77,SA,1694943100
342,sisimiut,66.9395,-53.6735,1.9500000000000455,73,100,0.33,GL,1694943101
343,kikwit,-5.041,18.8162,33.24000000000001,41,95,2.77,CD,1694943101
344,kapa'a,22.0752,-159.319,26.180000000000007,77,75,8.75,US,1694943102
345,sitka,57.0531,-135.33,12.939999999999998,76,100,7.2,US,1694943103
346,sola,-13.8833,167.55,25.760000000000048,82,8,9.0,VU,1694943104
347,lutsk,50.7593,25.3424,23.32000000000005,65,0,1.34,UA,1694943104
348,piti village,13.4626,144.6933,28.49000000000001,85,75,2.57,GU,1694943105
349,atlantic,39.4668,-74.6663,17.160000000000025,70,0,0.97,US,1694942867
350,bikenibeu village,1.3673,173.1241,26.980000000000018,94,100,5.14,KI,1694943106
351,rio grande,-32.035,-52.0986,15.53000000000003,87,0,0.83,BR,1694943030
352,corn island,12.1694,-83.0418,28.210000000000036,76,100,3.49,NI,1694943107
353,westport,41.1415,-73.3579,14.57000000000005,81,0,1.54,US,1694942975
354,arkhangel'sk,64.5401,40.5433,10.350000000000023,96,100,2.57,RU,1694943107
355,pangkalpinang,-2.1333,106.1333,29.08000000000004,68,36,4.12,ID,1694943108
356,nayoro,44.3506,142.4578,19.220000000000027,92,100,1.38,JP,1694943109
357,mayahi,13.9553,7.6712,31.700000000000045,43,68,1.66,NE,1694943033
358,kangding,30.0513,101.9603,17.930000000000007,90,86,2.03,CN,1694943110
359,amahai,-3.3333,128.9167,24.870000000000005,86,86,4.82,ID,1694943110
360,santo antonio do ica,-3.1022,-67.9397,22.860000000000014,83,39,0.95,BR,1694943111
361,rumbek,6.802,29.6912,33.160000000000025,51,69,0.96,SS,1694943112
362,faya-largeau,17.9257,19.1043,37.710000000000036,8,1,8.34,TD,1694943113
363,grande prairie,55.1667,-118.8027,6.100000000000023,93,100,4.12,CA,1694943113
364,okha,53.5739,142.9478,8.710000000000036,59,100,4.98,RU,1694943114
365,buka,40.8108,69.1986,31.510000000000048,14,38,3.07,UZ,1694943114
366,kulhudhuffushi,6.6221,73.07,27.83000000000004,75,98,4.22,MV,1694943115
367,decatur,39.8403,-88.9548,14.03000000000003,100,0,4.63,US,1694942819
368,forster,-32.1667,152.5167,18.480000000000018,76,0,2.87,AU,1694943116
369,karayazi,39.7028,42.1456,17.360000000000014,34,0,2.01,TR,1694943117
370,kerema,-7.9631,145.7785,23.879999999999995,77,58,3.62,PG,1694943118
371,sabha,27.0377,14.4283,31.05000000000001,16,5,3.11,LY,1694943118
372,viransehir,37.2353,39.7631,34.18000000000001,9,0,3.65,TR,1694943119
373,tibanbang,6.6315,126.1055,27.360000000000014,80,36,2.74,PH,1694943119
374,saldanha,-33.0117,17.9442,15.03000000000003,55,6,4.17,ZA,1694943120
375,dryden,49.7833,-92.7503,9.160000000000025,100,100,2.06,CA,1694943120
376,mount gambier,-37.8333,140.7667,11.560000000000002,91,90,2.73,AU,1694943121
377,kruisfontein,-34.0033,24.7314,16.600000000000023,51,84,10.04,ZA,1694943121
378,altpinar,39.2042,32.7478,22.470000000000027,31,0,4.73,TR,1694943122
379,fort bragg,35.139,-79.006,18.230000000000018,84,0,1.54,US,1694943122
380,luwingu,-10.2621,29.9271,32.99000000000001,16,30,2.62,ZM,1694943123
381,puerto armuelles,8.2833,-82.8667,27.27000000000004,72,84,0.45,PA,1694943123
382,happy valley-goose bay,53.3168,-60.3315,12.170000000000016,87,100,6.17,CA,1694943124
383,mengcheng chengguanzhen,33.2661,116.566,29.060000000000002,52,60,1.72,CN,1694943125
384,walvis bay,-22.9575,14.5053,15.050000000000011,54,2,2.55,NA,1694943125
385,katsuura,35.1333,140.3,26.700000000000045,88,66,6.02,JP,1694943126
386,bel ombre,-4.6167,55.4167,26.910000000000025,83,40,7.72,SC,1694943126
387,caala,-12.8525,15.5606,26.74000000000001,14,13,2.39,AO,1694943127
388,lubao,14.9167,120.55,31.840000000000032,83,100,1.64,PH,1694943127
389,yelizovo,53.1873,158.3805,15.080000000000041,58,75,6.0,RU,1694943128
390,kitimat,54.0524,-128.6534,11.210000000000036,99,100,0.89,CA,1694943129
391,na mom,6.9586,100.5568,31.910000000000025,58,40,4.12,TH,1694943129
392,rakovnik,50.1037,13.7334,26.510000000000048,47,13,1.06,CZ,1694943130
393,lyakhavichy,53.0388,26.2656,20.629999999999995,49,0,4.95,BY,1694943131
394,yeniseysk,58.4497,92.1703,18.30000000000001,52,65,1.79,RU,1694943131
395,bei'an,24.5399,109.533,29.680000000000007,76,49,1.43,CN,1694943132
396,chilpancingo,17.55,-99.5,18.82000000000005,96,100,1.05,MX,1694943132
397,puerto gaitan,4.3133,-72.0816,24.850000000000023,84,99,1.79,CO,1694943080
398,villa elisa,-25.3667,-57.6167,25.77000000000004,57,0,5.14,PY,1694943133
399,chui,-33.6971,-53.4616,13.230000000000018,88,0,3.4,UY,1694943134
400,enoch,37.7733,-113.0244,16.930000000000007,39,75,0.89,US,1694943134
401,pelabuhanratu,-6.9875,106.5514,28.230000000000018,66,25,4.01,ID,1694943135
402,miguel ahumada,30.6167,-106.5167,20.970000000000027,69,68,3.39,MX,1694943135
403,corona de tucson,31.9654,-110.7756,24.710000000000036,32,93,0.23,US,1694943136
404,shenjiamen,29.9576,122.298,25.74000000000001,81,3,2.64,CN,1694943136
405,eyl,7.9803,49.8164,34.610000000000014,41,75,9.91,SO,1694943137
406,lethem,3.3803,-59.7968,23.53000000000003,88,69,1.53,GY,1694943137
407,vylkove,45.4021,29.586,23.24000000000001,46,0,5.79,UA,1694943138
408,igarka,67.4667,86.5833,7.510000000000048,53,90,3.36,RU,1694943138
